X,CH1,CH2,
Second,Volt,Volt,
-1.6699998e-02,-3.60000e-02,1.00000e-02,
-1.6599998e-02,-4.00000e-02,8.00000e-03,
-1.6499998e-02,-3.60000e-02,0.00000e+00,
-1.6399998e-02,-3.60000e-02,-8.00000e-03,
-1.6299998e-02,-4.40000e-02,-4.00000e-03,
-1.6199999e-02,-4.40000e-02,-4.00000e-03,
-1.6099999e-02,-4.40000e-02,-6.00000e-03,
-1.5999999e-02,-4.00000e-02,-1.00000e-02,
-1.5899999e-02,-4.40000e-02,-1.40000e-02,
-1.5799999e-02,-3.60000e-02,-2.20000e-02,
-1.5699998e-02,-4.40000e-02,-2.20000e-02,
-1.5599999e-02,-4.00000e-02,-2.60000e-02,
-1.5499999e-02,-4.40000e-02,-2.60000e-02,
-1.5399998e-02,-5.60000e-02,-3.00000e-02,
-1.5299998e-02,-4.80000e-02,-3.20000e-02,
-1.5199998e-02,-5.20000e-02,-3.40000e-02,
-1.5099999e-02,-4.80000e-02,-3.80000e-02,
-1.4999999e-02,-5.60000e-02,-4.00000e-02,
-1.4899999e-02,-6.40000e-02,-3.60000e-02,
-1.4799998e-02,-6.00000e-02,-4.60000e-02,
-1.4699998e-02,-6.00000e-02,-4.80000e-02,
-1.4599998e-02,-6.40000e-02,-5.60000e-02,
-1.4499999e-02,-6.00000e-02,-6.00000e-02,
-1.4399999e-02,-6.40000e-02,-6.40000e-02,
-1.4299999e-02,-8.40000e-02,-6.20000e-02,
-1.4199998e-02,-8.80000e-02,-6.40000e-02,
-1.4099998e-02,-8.40000e-02,-6.80000e-02,
-1.3999999e-02,-1.04000e-01,-6.80000e-02,
-1.3899999e-02,-1.08000e-01,-7.00000e-02,
-1.3799999e-02,-1.28000e-01,-6.20000e-02,
-1.3699999e-02,-1.28000e-01,-7.20000e-02,
-1.3599998e-02,-1.40000e-01,-7.20000e-02,
-1.3499998e-02,-1.48000e-01,-7.60000e-02,
-1.3399999e-02,-1.56000e-01,-7.80000e-02,
-1.3299999e-02,-1.64000e-01,-7.60000e-02,
-1.3199999e-02,-1.84000e-01,-8.20000e-02,
-1.3099999e-02,-1.88000e-01,-8.20000e-02,
-1.2999998e-02,-2.04000e-01,-8.40000e-02,
-1.2899999e-02,-2.20000e-01,-8.40000e-02,
-1.2799999e-02,-2.32000e-01,-8.80000e-02,
-1.2699999e-02,-2.52000e-01,-8.80000e-02,
-1.2599999e-02,-2.64000e-01,-8.60000e-02,
-1.2499998e-02,-2.72000e-01,-8.80000e-02,
-1.2399998e-02,-2.88000e-01,-9.00000e-02,
-1.2299999e-02,-2.96000e-01,-9.20000e-02,
-1.2199999e-02,-3.08000e-01,-9.40000e-02,
-1.2099999e-02,-3.36000e-01,-8.60000e-02,
-1.1999999e-02,-3.36000e-01,-9.60000e-02,
-1.1899998e-02,-3.48000e-01,-9.40000e-02,
-1.1799999e-02,-3.56000e-01,-9.60000e-02,
-1.1699999e-02,-3.60000e-01,-9.20000e-02,
-1.1599999e-02,-3.60000e-01,-9.40000e-02,
-1.1499999e-02,-3.56000e-01,-1.00000e-01,
-1.1399999e-02,-3.52000e-01,-9.80000e-02,
-1.1299998e-02,-3.60000e-01,-9.00000e-02,
-1.1199999e-02,-3.44000e-01,-1.00000e-01,
-1.1099999e-02,-3.40000e-01,-9.40000e-02,
-1.0999999e-02,-3.20000e-01,-9.20000e-02,
-1.0899999e-02,-3.12000e-01,-9.00000e-02,
-1.0799999e-02,-3.00000e-01,-8.60000e-02,
-1.0699999e-02,-2.76000e-01,-9.20000e-02,
-1.0599999e-02,-2.60000e-01,-9.20000e-02,
-1.0499999e-02,-2.44000e-01,-8.80000e-02,
-1.0399999e-02,-2.32000e-01,-8.20000e-02,
-1.0299999e-02,-2.12000e-01,-8.40000e-02,
